feature,score,min,max,n_null,n_gt1w
x946,202,-1.0,2944.04,285,0,numeric
x4,202,-1.0,78.13,19,0,numeric
x89,200,-1.0,100.0,131,0,numeric
x213,200,-1.0,100.0,131,0,numeric
x179,200,-1.0,51.61,92,0,numeric
x494,199,-1,300,19,0,numeric
x781,198,-1,10295,19,1,numeric
x534,198,-1,162,19,0,numeric
x757,198,-1,96,19,0,numeric
x139,198,-1.0,35.15,83,0,numeric
x356,197,0.0,814.0,0,0,numeric
x514,197,-1,15950,19,2,numeric
x126,196,-1.0,100.0,131,0,numeric
x843,195,-1,12007,19,2,numeric
x365,195,-1,6144,92,0,numeric
x297,195,-1.0,852.0,19,0,numeric
x557,194,-1,235196,19,4440,numeric
x805,194,-1,21848,19,9,numeric
x556,194,-1,184,19,0,numeric
x177,194,-1.0,50.0,92,0,numeric
x288,193,-1,428,7817,0,numeric
x389,193,-1,185,19,0,numeric
x469,192,0.0,1.2,0,0,numeric
x525,192,-1,29963,19,7,numeric
x730,192,-1,420,4139,0,numeric
x225,192,-1.0,15.79,19,0,numeric
x103,191,-1.0,100.0,130,0,numeric
x24,191,-1.0,52.78,131,0,numeric
x113,191,-1.0,51.76,19,0,numeric
x150,191,-1.0,40.0,19,0,numeric
x520,190,-1,27607,19,1,numeric
x634,190,-1,25110,19,2,numeric
x568,190,-1,4460,19,0,numeric
x408,190,-1,678,19,0,numeric
x397,189,-1,1007,19,0,numeric
x405,189,-1,658,19,0,numeric
x348,188,0.0,100.0,0,0,numeric
x565,188,-1,6136,19,0,numeric
x527,188,-1,304,19,0,numeric
x996,187,-1,874,19,0,numeric
x284,186,-1,49393,19,25,numeric
x292,186,-1,1443,19,0,numeric
x856,186,-1,323,19,0,numeric
x85,186,-1.0,27.94,92,0,numeric
x826,185,-1,8361,19,0,numeric
x1010,185,-1,398,19,0,numeric
x105,185,-1.0,100.0,130,0,numeric
x868,184,-1,36415,19,2,numeric
x614,184,-1,17022,19,4,numeric
x22,184,-1.0,50.0,131,0,numeric
x633,183,-1,71336,19,415,numeric
x686,183,-1,26436,19,33,numeric
x601,183,-1,3019,19,0,numeric
x220,182,-1.0,30.61,19,0,numeric
x678,181,-1,13856,19,1,numeric
x1004,181,-1,296,19,0,numeric
x427,181,-1.0,151.31,52,0,numeric
x83,180,-1.0,100.0,92,0,numeric
x157,180,-1.0,40.0,92,0,numeric
x154,179,-1.0,100.0,92,0,numeric
x43,179,-1.0,83.56,19,0,numeric
x564,179,-1,62,83,0,numeric
x127,179,-1.0,50.0,131,0,numeric
x629,178,-1,175117,19,180,numeric
x372,178,-1,255,19,0,numeric
x959,178,-1.0,247.14,4421,0,numeric
x1022,178,-1,209,19,0,numeric
x160,178,-1.0,85.71,131,0,numeric
x100,178,-1.0,76.32,130,0,numeric
x228,177,-1.0,28.0,19,0,numeric
x232,176,-1.0,68.0,92,0,numeric
x254,175,-1,24779,19,1,numeric
x117,175,-1.0,68.76,92,0,numeric
x56,175,-1.0,19.35,131,0,numeric
x227,174,-1.0,25.68,19,0,numeric
x108,173,-1.0,19.55,19,0,numeric
x867,172,-1,19126,19,2,numeric
x562,172,-1,16085,19,2,numeric
x583,172,-1,792,19,0,numeric
x551,172,-1,363,2307,0,numeric
x385,172,-1,208,19,0,numeric
x296,171,-1.0,525.7,19,0,numeric
x207,171,-1.0,55.56,92,0,numeric
x206,170,-1.0,100.0,92,0,numeric
x233,170,-1.0,100.0,92,0,numeric
x23,169,-1.0,44.79,131,0,numeric
x864,168,-1,7078,19,0,numeric
x484,168,-1,2990,20,0,numeric
x997,168,-1,461,19,0,numeric
x323,168,-1.0,32.0,19,0,numeric
x481,167,-1,4369,20,0,numeric
x86,167,-1.0,100.0,92,0,numeric
x196,167,-1.0,27.23,19,0,numeric
x203,167,-1.0,16.51,19,0,numeric
x434,166,-1.0,151.31,52,0,numeric
x106,166,-1.0,34.8,19,0,numeric
x73,166,-1.0,13.73,19,0,numeric
x513,165,-1,146502,19,7,numeric
x804,165,-1,49129,19,13,numeric
x699,165,-1,7309,19,0,numeric
x553,165,-1,582,6510,0,numeric
x5,165,-1.0,20.09,19,0,numeric
x752,164,-1,8231,19,0,numeric
x16,164,-1.0,72.57,92,0,numeric
x613,163,-1,83075,19,107,numeric
x1077,163,-1,275,4951,0,numeric
x1018,163,-1,191,19,0,numeric
x48,163,-1.0,72.45,92,0,numeric
x12,163,-1.0,18.6,19,0,numeric
x155,162,-1.0,42.86,92,0,numeric
x41,161,-1.0,34.24,19,0,numeric
x77,161,-1.0,19.18,19,0,numeric
x40,161,-1.0,16.77,19,0,numeric
x274,159,-1,356,12095,0,numeric
x299,158,-1,1443,19,0,numeric
x914,158,-1.0,198.76,4951,0,numeric
x945,157,-1.0,5173.04,285,0,numeric
x809,157,-1,2309,19,0,numeric
x731,157,-1,357,6130,0,numeric
